Epoch,Training Loss,Validation Loss
1,0.0028629316948354244,0.002203688258305192
2,0.0007741455337963998,0.002255864907056093
3,0.0006266362615860999,0.0020064322743564844
4,0.0005999424611218274,0.0020254396367818117
5,0.00048616863205097616,0.0016789011424407363
6,0.0004371665418148041,0.0024164561182260513
7,0.0004811584367416799,0.001534819952212274
8,0.0004701376601587981,0.001656387816183269
9,0.00044224646990187466,0.0019520178902894258
10,0.00043639520299620926,0.0022215640638023615
11,0.00040121859638020396,0.0013033314608037472
12,0.00041677546687424183,0.001450319541618228
13,0.00038155235233716667,0.0013936284231022
14,0.0003864318423438817,0.001535945339128375
15,0.0004067026893608272,0.001410114229656756
16,0.0003147322277072817,0.0017276366706937551
17,0.00037088379031047225,0.001441007829271257
18,0.00034135443274863064,0.0014068619348108768
19,0.00034161846269853413,0.0017095935763791203
20,0.0003033112734556198,0.0016903314972296357
21,0.00036060274578630924,0.0012399143306538463
22,0.00035504059633240104,0.0013523417292162776
23,0.00030630588298663497,0.0014220507582649589
24,0.0002847049618139863,0.0012821807758882642
25,0.00034726352896541357,0.001280345837585628
26,0.0003689242585096508,0.0011807400733232498
27,0.0002989915374200791,0.0011878855293616652
28,0.0003549170505721122,0.001375727355480194
29,0.00032212966470979154,0.0012974789133295417
30,0.00033155459095723927,0.0012670784490182996
31,0.0003199816565029323,0.0012091741664335132
32,0.0003174040175508708,0.0012764588464051485
33,0.00035016643232665956,0.0013264152221381664
34,0.00030800187960267067,0.0015289565781131387
35,0.00028970459243282676,0.0015186028322204947
36,0.0003219330683350563,0.001228054636158049
