Actual Price,Predicted Price
33867.8,34387.839451795815
32866.3,33836.39206962585
33797.4,32616.752722018955
33510.6,33144.070756322144
34227.7,32956.77815282345
33113.0,33920.922089916465
32728.1,33601.20659752488
32820.7,32488.972353625293
31840.5,32279.923923528193
31394.0,31693.463836336134
31518.6,31239.091296499966
31785.4,30951.026383590695
30837.2,31542.49046332836
29793.8,31271.795806527134
32131.399999999998,29607.036296945807
32298.899999999998,31458.753068488833
33603.3,32445.51078390479
33824.8,33561.5034660697
35391.1,33912.379590892786
37276.59999999999,35213.60927648544
39451.99999999999,37850.56963021755
40003.19999999999,39648.675306689736
40001.399999999994,40251.728267335886
42203.399999999994,40197.90377310514
41553.69999999999,42192.34974194765
39878.299999999996,42121.73204035759
39168.399999999994,39789.58407850265
38130.299999999996,38709.82788021564
39736.9,37702.631751382345
40867.19999999999,39146.207386803624
42795.4,40933.03774847984
44614.2,42261.40832314491
43792.8,44503.40167256593
46284.299999999996,44296.509009492394
45593.799999999996,45854.14431834221
45564.299999999996,45561.7177879095
44403.399999999994,45178.02609839439
47809.09999999999,44525.129191112515
47081.49999999999,47196.60794773101
46991.3,47618.65051484108
45996.299999999996,46899.5214764595
44691.59999999999,45515.7498668313
44723.8,43858.76636133194
46755.899999999994,43963.667291224
49323.99999999999,46161.53927556276
48875.799999999996,48820.915251255035
49254.49999999999,49438.44451409578
49539.7,49437.34703270197
47714.69999999999,49261.06190627813
48994.49999999999,47241.71356199979
46831.59999999999,47651.226549863815
49064.299999999996,46722.543891537185
48897.09999999999,48146.67407289743
48777.399999999994,49530.51536388397
46992.69999999999,48794.65408933163
47130.399999999994,46480.73215776682
48819.399999999994,45940.02659249306
49274.299999999996,47839.50122500658
49998.99999999999,49021.56272258758
49918.4,49751.823357963556
51768.6,50065.89466032982
52672.09999999999,51639.826696860786
46779.59999999999,52592.09213989973
46061.399999999994,46816.252253246304
46385.59999999999,44147.93093317747
44842.799999999996,45415.73098710775
45161.899999999994,44750.25659464597
46062.299999999996,44894.83670302629
44949.49999999999,45301.144348406786
47077.49999999999,44731.62118637562
48130.6,46541.677215802665
47747.99999999999,47642.712358891964
47282.799999999996,46969.07218225002
48306.69999999999,46956.59486402273
47238.69999999999,48568.368233215806
42870.59999999999,47518.47485206127
40651.299999999996,42867.85825001001
43551.59999999999,39557.76290948391
44869.19999999999,41766.55309165716
42819.899999999994,44658.19445502758
42686.8,42938.149320232864
43203.399999999994,42112.43828918933
42172.59999999999,42627.16141797304
41022.299999999996,42268.81632255315
41536.799999999996,40628.49101678133
43823.299999999996,39949.40262893438
48145.99999999999,43182.60894562006
47666.899999999994,48954.781850790976
48200.09999999999,48795.420584273335
49227.299999999996,47779.9236636281
51469.299999999996,48660.45650334358
55323.19999999999,51160.00521843433
53783.899999999994,54945.27516180276
53914.69999999999,54292.391319775576
54942.49999999999,53903.67821737527
54687.69999999999,55218.93998650312
57477.299999999996,54741.888342070575
56015.899999999994,56323.06288478374
57380.09999999999,55339.95037542581
57345.799999999996,56206.154985833164
61672.49999999999,57504.42756878137
60861.09999999999,61111.922946691506
61527.49999999999,60897.33484860658
62056.299999999996,60638.40763119459
64278.49999999999,61549.613333833215
65979.1,63524.21318080425
62210.19999999999,65541.02251058817
60690.299999999996,62291.27558146715
61312.49999999999,59428.48230044841
60866.49999999999,60296.790416860575
63066.99999999999,60219.770740473265
60310.799999999996,61859.57779114246
58438.09999999999,59707.81309059858
60582.5,57252.49897279739
62242.799999999996,59844.44081395864
61840.09999999999,61400.31231342554
61309.59999999999,60998.61670295
60915.299999999996,60364.050347995755
63221.69999999999,60383.83549867868
62918.49999999999,62580.466283822054
61412.59999999999,62647.286351382725
60974.299999999996,60458.320515656465
61483.899999999994,59665.83442728519
63273.19999999999,60886.79554315805
67527.9,62752.71424654722
66904.4,66469.86195197106
64932.59999999999,66766.05563083888
64806.69999999999,64567.11665070056
64134.49999999999,64189.979363954066
64398.59999999999,62964.37137249708
65508.19999999999,63037.34081993103
63597.899999999994,64508.99368767738
60089.09999999999,63176.32464421987
60367.799999999996,59849.74966244697
56955.3,59072.09699323177
58083.399999999994,55788.162647676465
59717.59999999999,55865.326041865344
